Usename,Time,Like_count,Floor_number,Sourse,Comments
旺旺是仔,Sun Mar 15 13:33:59 +0800 2020,3,2,,"""蔡徐坤"""
坤哥的腿不是腿塞纳河畔的春水,Sun Mar 15 13:45:21 +0800 2020,2,1482,,"""蔡PD好可啊，大厂工友一出手，热搜必须搞到手，好有梗啊哈哈哈哈哈好给力哦"""
微醺奶杏,Sun Mar 15 13:34:09 +0800 2020,3,6,,"""蔡代表！！"""
奶葵出逃记_,Sun Mar 15 13:59:39 +0800 2020,3,3750,,"""蔡徐坤冲呀"""
八月老古董,Sun Mar 15 13:41:39 +0800 2020,2,685,,"""新采访！"""
呀小葵花呐,Sun Mar 15 13:34:24 +0800 2020,4,10,,"""蔡PD是个专业又nice的PD哦"""
坤哥园子,Mon Mar 16 01:28:03 +0800 2020,2,10236,,"""他的采访都很可爱，很有梗"""
坤坤的小妈妈,Sun Mar 15 21:45:32 +0800 2020,2,9795,,""""""
biubiu一菜,Sun Mar 15 19:44:44 +0800 2020,2,9367,,"""哈哈哈哈哈哈蔡PD冲呀"""
小殊梦幻游,Sun Mar 15 18:46:34 +0800 2020,2,9100,,"""越来越有梗了"""
-啵一口o泡,Sun Mar 15 16:06:35 +0800 2020,3,7951,,"""看了青2真的觉得他好优秀 很暖心心疼这个被黑了两年还那么温柔的蓝孩纸 不算是粉丝 不过对他很有好感 希望坤哥越来越好"""
旧城之下伴旧人,Sun Mar 15 15:51:57 +0800 2020,2,7757,,"""哈哈哈，不会截图😊"""
胖胖的烟火嘿嘿嘿,Sun Mar 15 15:51:33 +0800 2020,2,7753,,"""爆笑出声 啊哈哈哈哈"""
胖胖的烟火嘿嘿嘿,Sun Mar 15 15:51:23 +0800 2020,2,7751,,"""蔡徐坤是1g吧"""
超倪-Smart,Tue Mar 17 01:48:14 +0800 2020,1,10814,,"""我们要高冷噢～!!!"""
贝贝是爱坤,Mon Mar 16 17:08:54 +0800 2020,1,10547,,"""哈哈哈哈哈哈很有梗的温柔有原则的蔡PD！"""
biubiu一菜,Mon Mar 16 15:21:09 +0800 2020,1,10525,,"""不能更可爱的小孩"""
辰辰小叮当4,Sun Mar 15 16:30:55 +0800 2020,1,8209,,"""蔡徐坤"""
XHY-小夏,Sun Mar 15 16:17:19 +0800 2020,1,8078,,"""差点路转粉了，，，以前甚至有点反感，现在觉得好温柔的小哥哥，打脸"""
