,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
128,一条爱困的鱼,Fri Apr 03 07:22:21 +0800 2020,7,"""大早上就被甜死""",xmtz,3.5,0.4383292814416505,True
129,菜困小甜豆_,Fri Apr 03 01:21:40 +0800 2020,7,"""我嘴角疯狂上扬""",xmtz,3.5,0.44221064824637024,True
130,August_紫菜包饭,Wed Mar 18 12:36:58 +0800 2020,7,"""你的作品就是你最好的盔甲，一切其他的东西都将转瞬消逝，只有你的盔甲会陪着你战斗到最后一刻。试着去聆听他的作品，试着去体会他的经历，你一定会对他有新的看法。蔡徐坤，值得喜爱！""",fashion,3.5,0.9999979751322114,False
131,清汤少油不要葱,Wed Mar 18 12:41:01 +0800 2020,7,"""你的作品，是舞台@蔡徐坤""",fashion,3.5,0.9868046816633009,False
132,i淑娴,Thu Mar 12 22:31:57 +0800 2020,7,"""蔡pd个人cut存一个""",qnjf,3.5,0.7463758487085158,False
133,Forever-only-for-KUN,Fri Apr 03 01:30:07 +0800 2020,6,"""好可爱好温柔好甜啊""",xmtz,3.0,0.9960247033445829,True
134,去吃吃芒果冰,Fri Mar 13 00:02:53 +0800 2020,6,"""本舞台粉强力推荐江苏卫视跨年演唱会的舞台，大家可以去了解了解帅哥舞台哦""",hld,3.0,0.908483237015048,False
135,生菜炸虾三明治,Thu Mar 12 22:58:37 +0800 2020,6,"""妈的很帅的男孩子""",hld,3.0,0.6723114576784566,False
136,Serendipity_crush,Thu Mar 12 22:27:46 +0800 2020,6,"""意外get到了""",hld,3.0,0.9333333333333333,False
137,Progress_AK,Fri Apr 03 01:04:40 +0800 2020,6,"""就很美好""",xmtz,3.0,0.8373481967673786,False
138,zzzzzzzzzz键盘没问题,Thu Mar 12 21:52:58 +0800 2020,6,"""慢慢get到他的点了@愛DV樂樂 @我--点都不酷""",hld,3.0,0.998296294421491,False
139,快点把屎吃掉,Fri Mar 13 01:37:39 +0800 2020,6,"""Ella要给A然后他不同意说这样会让别人觉得门槛很低，我觉得他很有态度。""",hld,3.0,0.19460946762726028,False
140,旺仔蒸汽眼罩,Fri Mar 13 01:16:46 +0800 2020,6,"""而且他身材还这样""",hld,3.0,0.8949006152568311,False
141,对坤坤body着迷的棋棋,Wed Mar 18 12:37:47 +0800 2020,6,"""时间会证明一切""",fashion,3.0,0.5107249354109945,True
142,稳说了算,Wed Mar 18 12:45:49 +0800 2020,6,"""即使周围都是黑暗也挡不住蔡徐坤内心热爱的光@蔡徐坤""",fashion,3.0,0.99952883266581,False
143,冒菜要吃变态辣,Wed Mar 18 12:34:03 +0800 2020,6,"""坚定热爱就能行""",fashion,3.0,0.903724713899371,False
144,过量摄糖,Fri Mar 13 00:19:41 +0800 2020,6,"""所以当初黑他的都是无脑黑""",hld,3.0,0.587123287509958,False
145,大姑娘呵呵你真逗,Fri Mar 13 00:50:19 +0800 2020,5,"""之前只看过他偶练的舞台，觉的很燃并没有深入了解他的性格，现在真的觉得他人也好赞啊！！！！""",qnjf,2.5,0.9924006535687658,False
146,天籁之英0802,Thu Mar 12 22:54:28 +0800 2020,5,"""蔡PD真的超级温柔，制作人太适合他了""",qnjf,2.5,0.9669768420805054,True
147,清水悠哉,Wed Mar 18 12:38:42 +0800 2020,5,"""舞台就是你的作品""",fashion,2.5,0.8038947591273665,False
148,五號學長K,Thu Mar 12 22:28:02 +0800 2020,5,"""认真负责又不失幽默风趣的蔡代表呀""",qnjf,2.5,0.9898263589318655,False
149,蹦哒的珠子,Wed Mar 18 12:45:25 +0800 2020,5,"""时间证明一切""",fashion,2.5,0.48287653046287005,False
150,·802LY·U星葵倾·,Wed Mar 18 13:46:24 +0800 2020,5,"""坚守热爱，用作品回应争议。用心做好每一个舞台，认真对待每一首音乐。时间会证明一切，用作品来说话。蔡徐坤很棒！！！""",fashion,2.5,0.999998248364319,True
151,si澜,Thu Mar 12 22:18:27 +0800 2020,5,"""要一直这样开心笑才好，因为帅哥笑起来最好看！""",qnjf,2.5,0.9981982159382087,False
152,xifan你呦坤哥,Thu Mar 12 22:32:05 +0800 2020,5,"""哇哦～这个cut好！存""",qnjf,2.5,0.6023451860925553,True
153,IKUNRR,Thu Mar 12 22:49:20 +0800 2020,5,"""啊啊啊啊啊我爱蔡代表！""",qnjf,2.5,0.9912315896288618,True
154,全世界安利KUN,Thu Mar 12 22:33:16 +0800 2020,5,"""这个cut我🐴一下！可可爱爱的蔡代表看不够啊""",qnjf,2.5,0.7303753906091022,True
155,吃樱桃嘛_,Thu Mar 12 22:35:29 +0800 2020,5,"""码!""",qnjf,2.5,0.08048440719756844,False
156,侃侃而谈xiang,Thu Mar 12 23:09:32 +0800 2020,5,"""谢谢教父  正片看完了再看一下cut""",qnjf,2.5,0.926209286914205,False
157,姚小碟,Thu Mar 12 22:32:35 +0800 2020,5,"""温柔本身  网页链接""",qnjf,2.5,0.700688317194605,False
158,KUN·最爱大奎,Thu Mar 12 23:10:01 +0800 2020,5,"""哇！！速度好快！完整cut""",qnjf,2.5,0.883800244241207,True
159,小狮子蔡小葵,Thu Mar 12 23:01:44 +0800 2020,5,"""虽然…但是，还是心疼蔡徐坤""",qnjf,2.5,0.8012999068511333,True
160,爱芒果冰的加菲猫,Thu Mar 12 22:38:12 +0800 2020,5,"""热爱无罪，谢谢你的热爱，谢谢你的坚持！时间会证明一切的[加油]""",qnjf,2.5,0.9960094746214698,False
161,姚小碟,Thu Mar 12 22:32:35 +0800 2020,5,"""温柔本身""",qnjf,2.5,0.8694546229953743,False
162,viyi唯一xk,Thu Mar 12 22:31:55 +0800 2020,4,"""首期cut""",qnjf,2.0,0.6744851020968229,False
163,对我是猫猫,Wed Mar 18 15:26:46 +0800 2020,4,"""他那次拍摄的风格我还蛮喜欢的""",fashion,2.0,0.9567320143631417,False
164,八崽不在家-,Thu Mar 12 23:10:39 +0800 2020,4,"""我们粉丝真不瞎哈""",hld,2.0,0.5470029743204283,False
