,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
129,种在菜园里的桃,Mon Mar 16 17:51:00 +0800 2020,94.0,"""Ella老师和蔡徐坤在一起真的很逗看个节目笑死我了""",xlyl,0.9290145932738076,47.0,False
130,小鬼捣蛋东西,Thu Mar 12 20:11:03 +0800 2020,87.0,"""希望你们都能够看到它的温暖和柔软，真的打篮球不是故意的""",mgyl,0.8535902110575417,43.5,False
131,做更好的自己YSK,Thu Mar 26 19:46:48 +0800 2020,86.0,"""蔡徐坤好可爱呀，蔡pd太帅啦""",wbzy,0.9907737022782328,43.0,False
132,乐坤不疲,Mon Mar 16 17:50:41 +0800 2020,85.0,"""ella姐真的蛮通透的，现在这个年代有时候网络上的声浪也是对人很残忍，还好cxk还是心态很勇敢而坚强的，现在有更多人愿意去放下一些有色眼镜去了解他就可以发现，真的很多优点，上进刻苦有同理心，对自己本职业务要求极高，绝对是国内可以骄傲的那种优质国产偶像""",xlyl,0.9999999180196543,42.5,True
133,-星余,Sun Mar 15 13:34:51 +0800 2020,78.0,"""我要被蔡徐坤圈粉了""",xlzy,0.8759595914390657,39.0,False
134,给星星买了花,Mon Mar 16 17:32:32 +0800 2020,77.0,"""网络暴力真的很可怕""",xlyl,0.918867968513707,38.5,False
135,金狮嗅蔷薇,Sun Mar 15 13:37:55 +0800 2020,77.0,"""天呐天呐！！他也太可爱了吧！小嘴叭叭的！""",xlzy,0.33970027186497864,38.5,False
136,坤坤家的麦麦,Thu Mar 26 19:47:09 +0800 2020,75.0,"""蔡徐坤身穿蓝色休闲西装外套真的好帅，期待今晚的与你不见不散""",wbzy,0.9990993175563312,37.5,True
137,DAY肖夫人TOY,Sun Mar 15 13:37:32 +0800 2020,73.0,"""青你真的是对蔡徐坤路人转路人粉""",xlzy,0.8596788540978658,36.5,False
138,K-Maifeite,Mon Mar 16 17:39:12 +0800 2020,73.0,"""哈哈哈哈，ella姐真的好可爱，好有梗""",xlyl,0.9896425170245475,36.5,False
139,可能是叛逆期来得太晚了,Mon Mar 16 17:37:17 +0800 2020,71.0,"""Ella老师跟蔡徐坤这么早就认识了啊""",xlyl,0.9630793217848708,35.5,False
140,樱井舒芙蕾,Thu Mar 26 19:46:26 +0800 2020,71.0,"""哈哈哈哈蔡PD太可爱了，疯狂期待@蔡徐坤""",wbzy,0.9995241003919806,35.5,False
141,K葵味甜粥_T,Thu Mar 26 19:48:16 +0800 2020,70.0,"""期待蔡PD""",wbzy,0.8997689021670783,35.0,False
142,Ridiculous_Kun,Thu Mar 12 20:24:26 +0800 2020,68.0,"""用亲身经历传递自身经验，真的是很暖 爱你蔡徐坤""",mgyl,0.9990997212157404,34.0,False
143,夏末凉城空余心__,Sun Mar 15 13:45:21 +0800 2020,68.0,"""原来蔡徐坤是这么可爱的，以前一直觉得他好高冷""",xlzy,0.9564766904864778,34.0,False
144,三叶草和萱馥桦,Mon Mar 16 18:17:05 +0800 2020,66.0,"""团体活动时候三个人都很不容易，那几年工作满档，发片，演唱会，宣传，拍戏，综艺，24小时连轴转，为了挤时间不回家随便睡在公司沙发上甚至会议桌上，还要承受外界的压力，真的是拼了命换来的地位和知名度，还好努力都有回报""",xlyl,0.9827390933245003,33.0,False
145,Sun_葵花牌南瓜,Thu Mar 12 13:03:07 +0800 2020,66.0,"""蔡徐坤说的都对，今晚不见不散""",wyyl,0.6789573576447782,33.0,True
146,BEMYLION,Thu Mar 12 21:20:31 +0800 2020,66.0,"""两年前在这个平台他说了特长“唱跳rap篮球”，两聪明地开玩笑说“不是特长，是爱好”。他看开了。不用等到天黑，天亮了所有爱好篮球的男孩子都能光明正大地打篮球""",mgyl,0.9475408184949328,33.0,False
147,忘了不是王乐,Thu Mar 12 20:11:21 +0800 2020,61.0,"""你是因为舞台而在的，加油！""",mgyl,0.927711939084752,30.5,False
148,坤kun静,Thu Mar 26 19:48:29 +0800 2020,61.0,"""哈哈哈'好可爱 马上就要见到蔡pd啦""",wbzy,0.8733413598513929,30.5,True
149,April_Admire_August,Thu Mar 12 20:19:12 +0800 2020,59.0,"""蔡徐坤好样的""",mgyl,0.8020859269935734,29.5,False
150,DADA-哒小仙,Sun Mar 15 13:40:55 +0800 2020,58.0,"""分寸拿捏得当，既有原则又有风度，蔡PD超级棒👍""",xlzy,0.9975479145216647,29.0,False
